BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,question,answer
MOHANPUR,0,2007,1,5,Coconut,SAMASTIPUR,Fertilizer Use and Availability,KHARIF,HORTICULTURE,BIHAR,FERTILIZER DOSES OF COCONUT,FERTILIZER ARE NPK  1:2:2 KGPLANT 
KALYANPUR,0,2007,1,5,1064,SAMASTIPUR,5,KHARIF,AGRICULTURE,BIHAR,VARIETIES OF MOONG,
KALYANPUR,0,2007,1,5,1064,SAMASTIPUR,5,KHARIF,AGRICULTURE,BIHAR,VARIETIES OF MOONG,VARIETIES ARE PUSA VISHALSONASAMARST  PS-16 ETC 
KALYANPUR,0,2007,1,5,1064,SAMASTIPUR,5,KHARIF,AGRICULTURE,BIHAR,VARIETIES OF MOONG,
0,0,2007,1,8,1282,SAMASTIPUR,92,JAYAD,HORTICULTURE,BIHAR,asking about seed rate of kharif bhindi,bhawani krishnaindranilanokhi
0,0,2007,1,5,1075,KHAGARIA,3,KHARIF,AGRICULTURE,BIHAR,STEM BORER OF MAIZE,DUSTING WITH CARBOFURAN 3 G  7 KGHECT 
0,0,2007,1,5,Others,KHAGARIA,Weather,KHARIF,AGRICULTURE,BIHAR,WEATHER CONDATION IN KHAGARIA,ANSWER GIVEN TO DETAIL 
0,0,2007,1,20,Tomato,BHAGALPUR,78,RABI,HORTICULTURE,BIHAR,Varieties of Tomato,Varieties are North Amrit-501601BSS-422Pusa Hybrid-1Arka VikashPusa Gaurav LabonitaPanjab CHHuharKanchan and seed rate are 500-700gmhect and disstance diterminat variety 6045 and Inditerminate variety is 6050cm Hybrid seed rate 400-500gmhect
0,0,2007,5,23,1268,MUNGER,75,RABI,HORTICULTURE,BIHAR,FRUIT CRACKING IN MANGO,SPRAY BOREX  2 GMLIT WATER
0,0,2007,1,20,Others,KATIHAR,Weather,,HORTICULTURE,BIHAR,Weather condition of Katihar dist,Answer given to farmer by Internet
0,0,2007,1,20,1282,ARARIA,76,RABI,HORTICULTURE,BIHAR,Asking about fruit borer in Bhindi,Spray Endosulphon  2mllit of water
0,0,2007,1,5,1064,MUZAFFARPUR,12,KHARIF,AGRICULTURE,BIHAR,SOWING TIME MARCH - APRIL ,
0,0,2007,1,5,1064,MUZAFFARPUR,12,KHARIF,AGRICULTURE,BIHAR,SOWING TIME MARCH - APRIL ,SOWING TIME ARE MARCH - APRIL
0,0,2007,1,5,1279,MUZAFFARPUR,76,KHARIF,HORTICULTURE,BIHAR,FRUIT BORER OF BRINJAL,SPRAY ENDOSULPHAN 35 EC  15 MLLT OF WATER 
0,0,2007,5,28,1075,MUZAFFARPUR,5,JAYAD,AGRICULTURE,BIHAR,ASKING ABOUT VARITIES OF MAIZE,VARITIES ARE HAVING SHAKTIMAN-12 SUWANDEWAKI
0,0,2007,1,1,Safflower kusumkardi,BANGALORE,5,,AGRICULTURE,KARNATAKA,safflower hybrids,sarpan hybrids recomended
0,0,2007,1,8,Ginger,HASSAN,75,,HORTICULTURE,KARNATAKA,blight,coc 2gpl
0,0,2007,1,2,Baby Corn,SHIMOGA,78,,HORTICULTURE,KARNATAKA,babycorn hybrids,advanta hybrids recomended
0,0,2007,1,1,Sunnhemp Patua,NASIK,3,RABI,AGRICULTURE,MAHARASHTRA,stem borer of sugarcane,drench the Chloropyriphos   methyl demetom  20 ml10 ltr water each in furrow
0,0,2007,1,1,Grape,NASIK,76,KHARIF,HORTICULTURE,MAHARASHTRA,Control measures against red spider mites,Maintain field sanitationPlant debris after pruning should be destroyedDifferent neem formulations containing azadirachtin depending upon strength of botanical viz1  20ml and 5  05 mll can be sprayedSpray following chemical insecticides Insecticide Dose Pre-Harvest interval Dicofol 185 EC 25 mll 100 days Fenpyroximate 5EC 10mll 60 days Difenthiuron 50EC 08 mll 45 days Sulphur 80WP 200gl 15 days Abamectin 19 EC 030mll 7 days Azadirachtin1 200 mll 3 days
0,0,2007,1,13,Rose,NASIK,85,,HORTICULTURE,MAHARASHTRA,planting time of rose,jully-august
0,0,2007,1,13,Watermelon,DHULE,74,,HORTICULTURE,MAHARASHTRA,sowing season of watermelon,jan-feb
0,0,2007,1,14,BovineCowBuffalo,DHULE,36,,ANIMAL HUSBANDRY,MAHARASHTRA,Contact details for training,2358238123522368 23272332236623442344 2346235523602379234223252352 2346238123522325235423812346 2309234323672325236623522368 234223812357236623522366 233223672354238123612366 231323422381235123792327 232523752306234223812352 23322350234423662327236723522368 235223792337 2343236923552375 - 424001  Phno02562-246292
0,0,2007,1,14,Cotton Kapas,DHULE,29,KHARIF,AGRICULTURE,MAHARASHTRA,Reddning in cotton,Spray 100gm Magnesium sulphate  50gm Urea in 10lit of water Spray 2 DAP at boll development stage
0,0,2007,1,1,1280,JALGAON,75,KHARIF,HORTICULTURE,MAHARASHTRA,Control for leaf curl,Alternate spray of dicofol  25 mllit of water followed by wettable sulphur  025 to avoid resistance development Two spray of systemic insecticide is essential for control of thrips and insect vector
0,0,2007,1,13,1279,JALGAON,76,,HORTICULTURE,MAHARASHTRA,attack of fruit borar,spray 25ml sypermetrin in 10lt of water
0,0,2007,1,14,Cotton Kapas,JALGAON,3,KHARIF,AGRICULTURE,MAHARASHTRA,attack of thrips on cotton ,spraying of emida croplid 5 ml in 10 lit of water
0,0,2007,1,1,Ginger,AHMADNAGAR,87,JAYAD,HORTICULTURE,MAHARASHTRA,Cultivation details,Given all required information
0,0,2007,1,1,Ginger,AHMADNAGAR,87,JAYAD,HORTICULTURE,MAHARASHTRA,Cultivation details,
0,0,2007,1,1,1279,AHMADNAGAR,Agriculture Mechanization,,HORTICULTURE,MAHARASHTRA,arhid on brinjal,spraying of emidacloprid
0,0,2007,1,1,Onion,AHMADNAGAR,Agriculture Mechanization,,HORTICULTURE,MAHARASHTRA,blight on onion,copper oxycloride25ml10lit of water
0,0,2007,1,13,Onion,AHMADNAGAR,Fertilizer Use and Availability,KHARIF,HORTICULTURE,MAHARASHTRA,ask fertlizers dose of onion ,fertlizers dose of onion 15:15:15 135 kg  urea 45 kg acre
0,0,2007,1,13,2108,AHMADNAGAR,78,,HORTICULTURE,MAHARASHTRA,varieties of tamato,arka alokpusa shitalrajshribhagshri etc
0,0,2007,1,13,Onion,AHMADNAGAR,Fertilizer Use and Availability,,HORTICULTURE,MAHARASHTRA,fertilizer dose for onion,apply 135kg suphala45kg ujjwala per acre
0,0,2007,1,14,1037,AHMADNAGAR,2,KHARIF,AGRICULTURE,MAHARASHTRA,Control against pod borer,Spray NSKE 5 twice followed by triazophos 005 Apply any one of insecticides at 25 kgha endosulfan 4D quinalphos 4D carbaryl 5D
