question,answer
what is the contol of green cattr pillar in the soybean,
how to control yellow moisac in moong,spraying for dimethod 7501000mlha
how to control pumkin beetle in cucumber,should be spray profenophos 35mlpump
how to control thrips in chilli,should be spray dimethod 35mlpump
what are control of cotton white fly,spray imidacloprid 5 ml pump
how to control white fly in brinjal,should be spray metasystox 35mlpump
how to control fruit borer in bitter gourd,should be spray profenophos 35mlpump
how to control leaf curl in tomato,should be spray metasystox 35mlpoump
what is the important varieties of the coriander for the madhya pradesh,gujrat dhaniya one and gujrat dhaniya two are the good varieties of the dhaniya for the madhya pradesh
how to control sucking pest in cowpea,should be spray dimethod 35mlpump
how to control fruit borer in bitter gourd,should be spray profenophos 35mlpump
variety of onion,pusa rednasik red
how to control aphid jassid and thrips in cotton,
how to control aphidjassid and thrips in cotton,apply to you spray of immidachloroprid 15 mlpump of crop for control its
what are varieties of maize,sown on varieties ganga5 deccan101naveen and jyoti etc
how to control hopper in mango,should be spray dimethod 35mlpump
how to control aphids in coriander,should be spray metasystox 35mlpump
what are control of cotton aphids,spray imiacloprid 5 ml pump
how to increase milk production of cow,you can give gylox powder 100 gram in a day for increase milk production of cow
how to control fruit drop in jackfruit,
how to control fruit drop in jackfruit,
how to control fruit drop in jackfruit,apply to you spray of planofix 5 mlpump for control its
how to control fruit drop in jackfruit,
what are control of sorghum stem borer,spray trizophose 40 ml pump
chilli flower dropping control,spray planofix 15 ml pump
control chilli leaf curling,
control chilli leaf curling,spray acetamiprid 5 ml pump
how to brackout wheat stra in field,you drive to herro i field
what is the control of yellow mosaic in bhindi,apply to you spray monocrotophos 30 mlpump
how to control of fruit borer in brinjal,spay for profenophos 35mlpump
potato seed sowing,sow in oct nov
how to control becterial blight in tomato,should be spray metasystox 35mlpump
how to control flower drop in brinjal,sprey planofix4mlpump
how to control sucking pest in urd,should be spray deltamethrin 25mlpump
what is the control of fruit and shoot bore in bhindi,you can carbyrl dust 2025 kg in a hactare for control its
what is til white fly control,spray acetamiprid 5 ml pump
how to control fruit drop in jackfruit,apply to you spray of planofix 5 mlpump for control its
what is sowing time of bishops weed,octumber to november are suitable time of bishops weed
what is the control of the soybean aphid,spray 001 endosulphan 35 ec or 005 quinalphos 25 ec or 001 malathionor spray monocrotophos 36 sc oxydemeton methyl metasystox 25 ec or dimethoate rogor 30 ec 1012 ml in 10 i water 750 1000 i sprayha at the crop age of 3540 days and repeat after 15 days if needed
how to control of naerosis in soybean,should be apply spray mancozeb mlpump
what is give you information fuit borer controller of binjal,tryzophos30mlpump spray crop in brinjal
how to control becterial blight in brinjal,applied vavistin 15kgha with irrigation water
how to control becterial blight in brinjal,
what is the control of the gram cutworm,deltamethrin 28 ec 750 mlhaor quinalphos 25 ec 1000 mlhaorin case of severe infestation spray insecticides like polytrin c44 ec 1000 mlha
what is the control of purple blotches in onion,you can spray of mencozeb 2025 mlpump of crop for control its
what is the control of the bihar hairy caterpillar spilosoma obliqua,trizophos 40 ec 08 lithaor quinolphos 25 ec 15 lithaor methomyl 40 sp 100ghaor ethion 50 ec 15 litha
what is the control of the tobacco caterpillar spodoptera litura,quinolphos 25 ec 1000mlhaor ethofenprox 10 ec 1000mlha in case of severe infestation apply polytrin 44 1 litha or profenophos 50 ec 200 litha always use hollow cone noozle for spraying dust endosulfan 4 or quinalphos 15 25kgha when their population is likely to reach 10m row length etl repeat it as eeded
how to control leaf curl in onion,spraying for dimethod 35mlpump
how to control leaf curl in onion,
what is the control of the fruit borer,spray insecticides like polytrin c 44 ec 1000 mlhaor profenophos 50 ec 1500 mlhaor spark 36 ec at the rate of 1000 mlhaor chlorpyriphos 20 ec 200 ml acephate 100 mlha
what is the important varieties of the moong for the madhya pradesh,pant moong one and pant moong two are the good varieties of the moong for the madhya pradesh
how to increase milk production of buffalo,you can give gylox powder 100 gram in a day for increase milk production of buffalo
provide me fishries farming information,
provide me fishries farming information,07552552082 fishries department bhopal for more detail information
how to increase milk production of buffalo,
what is the control of the thrips,spray monocrotophos 36 sc oxydemeton methyl metasystox 25 ec or dimethoate rogor 30 ec 1012 ml in 10 i water 750 1000 i sprayha at the crop age of 3540 days and repeat after 15 days if needed
what is the control of the white fly,spray 001 endosulphan 35 ec or 005 quinalphos 25 ec or 001 malathionor spray monocrotophos 36 sl oxydemeton methyl metasystox 25 ec or dimethoate rogor 30 ec 1012 ml in 10 i water 750 1000 i sprayha at the crop age of 3540 days and repeat after 15 days if needed
what is give you infomation aphid controller of green gram,immidacloprid15mlpump spray crop in green gram
what is give you information catter pillar controller of cotton,melathion30mlpump spray crop in cotton
what is give you information damping off controller of bottole gourd,dithane m4520gpump spray cop in bottole gourd
fruit borer of brinjal,spray endosulphan 35 ec 15 mllt of water
askijng about cultivation of cowpea,answer given detail to farmer
varities of scented rice,pusa basmatisugandhakamini
fertilizer doses of coconut,fertilizer are npk 122 kgplant
varieties of moong,
varieties of moong,varieties are pusa vishalsonasamarst ps16 etc
varieties of moong,
asking about seed rate of kharif bhindi,bhawani krishnaindranilanokhi
stem borer of maize,dusting with carbofuran 3 g 7 kghect
weather condation in khagaria,answer given to detail
varieties of tomato,varieties are north amrit501601bss422pusa hybrid1arka vikashpusa gaurav labonitapanjab chhuharkanchan and seed rate are 500700gmhect and disstance diterminat variety 6045 and inditerminate variety is 6050cm hybrid seed rate 400500gmhect
fruit cracking in mango,spray borex 2 gmlit water
weather condition of katihar dist,answer given to farmer by internet
asking about fruit borer in bhindi,spray endosulphon 2mllit of water
sowing time march  april,
sowing time march  april,sowing time are march  april
fruit borer of brinjal,spray endosulphan 35 ec 15 mllt of water
asking about varities of maize,varities are having shaktiman12 suwandewaki
safflower hybrids,sarpan hybrids recomended
blight,coc 2gpl
babycorn hybrids,advanta hybrids recomended
stem borer of sugarcane,drench the chloropyriphos methyl demetom 20 ml10 ltr water each in furrow
control measures against red spider mites,maintain field sanitationplant debris after pruning should be destroyeddifferent neem formulations containing azadirachtin depending upon strength of botanical viz1 20ml and 5 05 mll can be sprayedspray following chemical insecticides insecticide dose preharvest interval dicofol 185 ec 25 mll 100 days fenpyroximate 5ec 10mll 60 days difenthiuron 50ec 08 mll 45 days sulphur 80wp 200gl 15 days abamectin 19 ec 030mll 7 days azadirachtin1 200 mll 3 days
planting time of rose,jullyaugust
sowing season of watermelon,janfeb
contact details for training,2358238123522368 23272332236623442344 2346235523602379234223252352 2346238123522325235423812346 2309234323672325236623522368 234223812357236623522366 233223672354238123612366 231323422381235123792327 232523752306234223812352 23322350234423662327236723522368 235223792337 2343236923552375  424001 phno02562246292
reddning in cotton,spray 100gm magnesium sulphate 50gm urea in 10lit of water spray 2 dap at boll development stage
control for leaf curl,alternate spray of dicofol 25 mllit of water followed by wettable sulphur 025 to avoid resistance development two spray of systemic insecticide is essential for control of thrips and insect vector
attack of fruit borar,spray 25ml sypermetrin in 10lt of water
attack of thrips on cotton,spraying of emida croplid 5 ml in 10 lit of water
cultivation details,given all required information
cultivation details,
arhid on brinjal,spraying of emidacloprid
blight on onion,copper oxycloride25ml10lit of water
ask fertlizers dose of onion,fertlizers dose of onion 151515 135 kg urea 45 kg acre
varieties of tamato,arka alokpusa shitalrajshribhagshri etc
fertilizer dose for onion,apply 135kg suphala45kg ujjwala per acre
control against pod borer,spray nske 5 twice followed by triazophos 005 apply any one of insecticides at 25 kgha endosulfan 4d quinalphos 4d carbaryl 5d
leaf blight,spray the crop with mancozeb or zineb at 15 kgha
cultivation details,given all required information
sowing season of cucumber,octnovjanfeb
flower dropping,spray planofix 5ml10liter of water
blight of onion,spray copper oxychloride 25gm streptocycline 1 gm in 10 ltr water take second spraying after 15 days containing bavistin and streptocycline 25 gm and 1 gm respectively in 10 ltr water
ask micronutrent on watermelon,spraying of microla 25 ml in 20 ml humic acid in 10 lit of water
blight on onion,copper oxycloride25ml10lit of water
control measure for onion blight,spray copper oxychloride 25gm streptocycline 1 gm in 10 ltr water take second spraying after 15 days containing bavistin and streptocycline 25 gm and 1 gm respectively in 10 ltr water
when should be harwest watermelon,watermelon should be harwest 335month after sowing
ask with on maize,dranching of bavistin 25 gm in 10 lit of water
varieties of shimala mirch,apply arka mohinigouravvasantgreen gold
varieties of shimala mirch,
varieties of shimala mirch,
sowing time of gram,20 october  8 november
sowing time of gram,
sowing time of zaid season groundnut,15 january  15 february
market rate for cotton,max5291 min5000 avg5100rsqt
varieties of brinjal,krushnaruchiraarunapusa kranti
dissconected,dissconected
control measure for tur pod borer,spray quinolphosh 25ec20ml10litof water
reddning in cotton,spray 100gm magnesium sulphate 50gm urea in 10 lit of water
redning of cotten,apply mg sulphate
aphid on jawar,spraying of emidaclprid
attack of thrips on cotton,spraying of emida cropid 5 ml in 10 lit of water
weedicide for wheat,spraying of isoprotoron weedicide
infection of tambera in wheat,spraying of mancozeb 25 gm in 10 lit of water
control for leaf blight,spray the crop with mancozeb or zineb at 15 kgha
blight on onion,copper oxycloride25ml10lit of water
attack of fruit borar,spray 2ml sypermetrin in 10lt of water
yellowing of leaves,spray microlla 25ml10liter of water
infection of blight on onion,spraying of coc 25 gm in 10 lit of water
infection of blight on onion,spraying of coc 25 gm in 10 lit of water
redning of cotten,
market rate of cotton,average rate is rs 5600qtl
control measure for tur pod borer,spray quinolphosh 25ec20ml10litof water
varieties of bhindi,arka anamikaarka abhaypusa sawanipanjab7 etc
varities of groundnut,tag 24sb11m13tg26
market price of wheat,1375  1400 rs quintal
red leaf of cotton,spray 50gm urea100gm magnesium in 10lt of water
attack of thrips on chilli,spraying of rogar 15 ml in 10 lit of water
infection of brinjal,spraying of coc 25 gm in 10 lit of water
control measure for tur pod borer,spray quinolphosh 25ec20ml10litof water
red leaf of cotton,spraying of mgso4 100 gm urea 50 gm in 10 lit of water
late sowing time of wheat,upto 15 december irrigated
control measure for gram dumping of or wilt disease,use disease resistant varities dreching of bavisstin 10gm10litof water
weather inquiry,clearprecip chance 5
ask sowing season of summer watermelon,sowing season of summer watermelon janfeb
sowing season of gnut,in summer season gnut shold be sown during 15jan15feb
sowing season of soyabean,in summer season soyabean should sonw in month of janfeb
attack of jassids on chilli,spraying of emida croplid 5 ml in 10 lit of water
attack of thrips on cotton,spraying of rogar 15 ml in 10 lit of water
red leaf of cotton,spray mgso4 100gm50gm urea10litof water
control measure for wheat rust,spray mancozeb25gm10litof water
varieties of cow pea,varieties  pusa phalguni pusa do phasali pusa komal etc
dos of npk,apply 151515 65kg and ssp 65 kgacre
market rate of wheat,date variety apmc unit quantity hrate lrate average 131210  pune quintal 3978 2800 1400 2100   chopda quintal 10 1401 1225 1401   nagpur quintal 131 1700 1123 1411   mumbai quintal 9726 2200 1450 1825   shrirampur quintal 30 1631 1200 1475   deulgaon raja quintal 15 1500 1250 1360   mantha quintal 11 1550 1150 1350  bansi murum quintal 7 1000 1000 1000
infection of bhindi,spraying of coc 25 gm in 10 lit of water
asked about rice cultural practices,recommended information given as per data
asked about rice cultural practices,
asked about rice nursery managenmant,recommended information given as per data
asked about stem application in cotton,recommended to use emidachloprid and water in 120 ratio as per data
asked about cultural practices in black gram,recommended information given as per data
asked about cultural practices in banana,recommended information given as per data
asked about cultural practices in radish,recommended information given as per data
asked about weather report,information given from interenet
asked about availability of equipments,information given where its available
asked about weedicides in ground nut,recommended to spray emajithaphir as per data
rainfall data,12th decscattered clouds 13th decscattered clouds
rainfall data,rainfall data given
qwhich vegetable crop suitable this time,ans at this time you can sown bhindi crop
second dipping treatment for grape,40 ppm ga3 fer second dipping
aphids on onion,spraying of dimethoate 10 ml 10 ml sticker in 10 lit of water
market rate of papaya,market rate of papaya rs 700 quiav
thrips attack on onion,spray emidacloprid 10 ml in 10 lit water
fert dose in onion,apply ammonium sulphate 20 kg 45 kg urea per acre
planting time for papaya,planting can be at any season avoid during high rainfall
varieties of papaya,taiwan786 co1 c02 c06 etc
varieties of black grapes,thompson seedless
blight attack on onion,spray tilt 25 gm in 10 lit water
herbicide in wheat,spray isoprotoron 1 kg in 500 lit water
pod borer in tur,spray 3ml spinosad or 20ml quinolphos in 10 lit of water
farmer want the rahuri agriculture college contact no,i giving him the rahuri agriculture college contact no02426 243861
breeds of buffalo,murha surti mehsana jafrabadi
thrips in onion,spray dimetoate 10ml in 10 lit of water
varieties of okra,arka anamika
varieties of ginger,china vyanad g551 surbhi etc
weather report,scattered clouds for 2 days
pest attack on arhar,spray proclaim 10 ml in 10 lit water
flower drop problem in arhar,spray planofix 4 ml in 10 lit water
market rate of onion,rs 1000 per quintal average
2nd fertilizer dose for irrigated wheat,50 kg urea per acre
blight in potato,spray 20gm dithane m45 or coc in 10 lit of water
control measure for rust in wheat,spray propiconazole 10ml in 10 lit of water
2nd fertilizer dose for irrigated wheat,50kg urea per acre
market rate of maize,rs 760 per quintal
control measure of weed of wheat crop,
sowing time 4 late varieties of wheat,15dec
herbicide in onion,spray basalin goal 1 kg in 500 lit of water apray after 1 month of planting
pest attack on gram,spray endosulphan 20 ml 25 ml neem oil in 10 lit water
rust in wheat,spray tilt 10ml in 10lit of water
2nd fertilizer dose for onion,45kg urea per acre
fruit rot in chilli,spray dithane m45 or z78 25gm in 10 lit of water
powdery mildew in chilli,spray sulpher 25gm or karathane 10ml in 10 lit of water
control measure of mastasis disease,
pod borer attack on gram,spray clorpyriphos 20 ml in 10 lit water
pod borer attack on gram,spray clorpyriphos 20 ml in 10 lit water
fertliser dose of potato,apply 165 kg suphala 75 kg urea 35 kg mop acre
treatment for onion seedlings before planting,dip roots of seedlings in the solution of bavistine
any loan facilities for starting vermicompost project,subsidy is available through agriculture dept
any govt scheme for plantation of teakwood,not any special scheme from govt but refer to contact social forestation dept such schemes are conducted through this dept
how to control the pod borer in gram crop,for controlling the pod borer in gram crop spraying chloropoyriphos 20ml in 10 lit water
irrigation is beneficial at the time of flowering,yes irrigation is beneficial at the time of flowering
information about weather in sangali district,information about weather in sangali district are today partly cloudy weather with light rain
information about weather in sangali district,information about weather in sangali district are today partly cloudy weather with light rain
information about farm pond,i given detail information of about farm pond scheme suggest to contact agril officer
control measure for jowar rust,spray m45mancozeb25gm10litof water
market rate of onion,market rate of onion rs 1100 qui
contact no of central hatchery centre,contact no of central hatchery centre 020 25816974 pune
herbicide in wheat,spray 24d 115 kg in 10 lit water
any govt scheme for starting dairy farming,25 subsidy is available by govt
yellowing of wheat crop,apply 55 kg 151515 20 kg urea per acre spray 1919 150 gm 30 gm coc in 10 lit water
less growth of gram even after 45 days of sowing,65 kg sufla 60 kg super phosphate per acre spray humic acid 30 gm in 10 lit water
flower drop problem in mango,spray planofix 6 ml in 10 lit water
pod borer attack on gram,spray clorpyriphos 20 ml 25 ml neem ark in 10 llit water
low fat in milk of cow,allow grinded maize mineral mixture
market rate of onion,8002000 rsqtl
thrips in onion,spray dimethoate 10ml in 10 lit of water
ask about varieties of sugarcane,co8603294012
control measure of pod borer of tur,spray cypermethrin 4 ml in 10 liter of water
late sowing var of wheat,late sowing var of wheat akw1071hd2501hd2610 etc
blight on onion,spraing of m45 25 gm 10 ml sticker in 10 lit of water
address of soil testing lab,soil testing labharbhajansing buildingusmanpura eknath roadaurangabad
fert dose 4 mangeo 5 years old plant,5 kg compost 350 gm sufla 200 gm urea per plant
sucking pest attack on onion,spray emidacloprid 10 ml in 10 lit water
late sowing time for wheat,15dec
varieties of brinjal,krushna ruchira aruna pusa kranti pragati etc
herbicide in maize jowar and wheat,spray 24d 1 kg in 500 lit water spray after 3040 days of sowing
information about weather in aurangabad district,information about weather in aurangabad district are today partly cloudy weather with light rain
information about market rate of maize crop in ameamdnagar market,information about market rate of maize crop in ameamdnagar market are rs106800 per quintal
control measure of leaf rolar on tur crop,control measure of leaf rolar on tur crop are spray 20 ml chlorophyriphos in 10 liter of water
control measure of stem borer on jower,spray trizophos deltamethrin 25 ml in 10 liter of water
market rate soyabean,rs 23002400qt
market rate of tur,rs 5400 qt
control measure of weed of wheat,spray altrabutoclor 115 kg in 500 liter of water
irrigation onterval in wheat,21 day interval
buffalo,
fertiliser dose of pomogranate 3 yr tree,apply 15 kg compost 825 gm suphala and urea tree
market rate of onion,rs 1200 per quintal
pest attack on arhar,spray endosulphan 20 ml 30 ml neem oil in 10 lit water
sowing time for groundnut summer,15 jan 15 feb
infecton of blight on onion,spraying of coc 25 gm in 10 lit of water
pod borer in tur,spray spinosad 3ml 50ml neemoil in 10 lit of water at an interval of 10 days
quantity of dap to spray on gram,200gm dap in 10 lit of water at an interval of 812 days
pod borer in tur,spray quinolphos 20ml or spinosad 3ml 30ml neemoil in 10 lit of water
market rate of soyabean,rs 2340 per quintal
market rate of arhar,rs 4005 per quintal average
pest attack on gram,spray quinalphos 20 ml in 10 lit water
sowing time of onion,janfeb
attack of pest on tur,spray quinalphos 20 ml in 10 lit of water
buffalo is very ill,for controlling buffalo illness contact to vetarnary doctor
green pest on gram crop,for controlling green pest on gram crop spraying chloropoyriphos 20ml in 10 lit water
information about markrt rate of onion crop in osmanabad market,information about markrt rate of onion crop in osmanabad market are rs250000 pert quintal
pod borer on tur,spraying of endoxcarb 10 ml in 10 lit of water
contact no of emu farmer association,contact no of emu farmer association 020 30787100 mobno 9850090070
pod borer in tur,spray 20ml quinolphos in 10 lit of water
flower drop in tur,spray 3ml planofix in 10 lit of water
ask about market rate of soyabean,akola quintal 1446 2370 2340 2360
pod borer,spraying of imamectin benzoate 6 ml in 10 lit of water
apply sufla urea spray humic acid 30 gm,fert dose less growth of gramapply sufla urea spray humic acid 30 gm
pest attack on arhar,spray proclaim 10 ml in 10 ml in 10 lit water
yellowing leaf of tur crop,for controlling yellowing leaf of tur crop spraying humic acid 15gm25ml microlla in 10 lit water
herbicide in wheat,spray isoprotoron 1 kg in 500 lit water spray after 1 month of sowing
information a bout werather in buldana district,information a bout werather in buldana district are today partly cloudy weather with light rain
control measure of fungal attack on oinion crop,control measure of fungal attack on oinion crop are drainch 25 gm coc in 10 liter of water
pod borer on tur,spraying of endoxacarb 10 ml in 10 lit of water
blight attack on onion,spray mancozeb 30 gm 2 gm streptocycline in 10 lit water
yellowing of wheat crop,apply 50 kg urea per acre spray coc 30 gm biola 25 ml in 10 lit water
market rate of soyabean,market rate of soyabean rs 2360 qui av
preventing of shoot growth in orange,spraying of ccc500 ppm
disconnected,disconnected
pod borer on tur,spraying of endoxacarb 10 ml in 10 lit of water
market to purchase giriraja breeb od poultry,refer to contact nagpur vet college
market rate of cotton,rs 3100 per quintal
market rate of soyabean,rs 2329 per quintal
how to control flower dropping in gram crop,for controlling flower dropping in gram crop spraying planofix 4ml in 10 lit water
less flowring in arhar,spray boomflower spray micronutrients 30 ml in 10 lit water
pest attack on arhar,spray proclaim 10 ml in 10 lit water
information about weather in amtavati district,information about weather in amtavati district are today partly cloudy weather with light rain
sowing season for fodder jowar,march april
fertiliser dose of sugarcane,apply 215115115 kg npk ha
how to control pod borer in tur crop,for controlling pod borer in tur crop spraying chloropoyriphos 20ml in 10ml in 10 lit water
weather report for yavatmal distt,cloudy weather and 20 chances of rain
basal dose,apply dap 100kgmop 30kg per acre
control measure of wilt on gram,dreancing bavistin 25 gm in 10 liter of water
control measure of rust on wheat,spray redomil25 gm in 10 liter of water
pod borer on arhar,spraying of endoxacrb 10 ml in 10 lit of water
rhizome fly in turmeric,drench 20ml quinolphos 20gm coc 50ml neemoil in 10 lit of water at an interval of 10 days
pod borer on tur,spraying of endoxacarb 10 ml in 10 lit of water
control measure of pod borer on tur,spray quinolphos 20 ml in 10 liter of water
control measure of drop flower of tur,spray planofix 4 ml in 10 liter of water
biological pest control in gram,spray biveria baciana 40 gm in 10 lit water
control measure of leaf eating catterpiller on tur,spray cypermethrin 4 ml in 10 liter of water
information about weather in washim district,information about weather in washim district are today partly cloudy weather with little showers
control measure of churda murda on chilli,spray imidacropid 4 ml in 10 liter of water
varieties pof onion,n241 phule suvarna
asking about climate soil requirement for cultivation of cauliflower,it requires a cool and moist growing season temp 10 oc  25 oc ph 55  66 cauliflower can be grown on wide range of welldrained soilshowever sandy loam clay loam is best for cultivation of cauliflower
pl tell me varities of cumin crop,rz19 rz209
black gram season and variety,black gram season feb  mar and variety adt 5
leaf folder control measure in paddy,spray monocrotophos 2ml neem oil 3ml lit of water
inquiering date to distributed the new land use policy nlup of the mizoram state goverment,inform to inquiering to the agriculture department
asked whether he can spray fertilizer and a pesticide together,adviced him not to apply together
asked about the control of stem borer in rice,recommended to spray carbofuron 3g granules 10kgacre
asked about control for mosaic,remove rogging the plants
asked about the fertiliser recommendation in paddy,recommended 482420
asked about control for thrips damage,recommended to spray acephate 15grlitre
asked about the varities in paddy,recommended to choose rdr355 wgl32100
asked about the control of sucking pest in red gram,recommended to spray rogor15grlit
asked about control for thrips damage,recommended to spray acephate 15grlitre
asked about control for jassids,recommended to spray dimethoate 2mllt
asked about control for brown spot,recommended to spray mancozeb mixed with 3urea
asked about control for aphids damage,recommended to spray rogor 2mllitre
asked about the control of rice blast,recommended to spray tricyclozole 06 gmltr
asked about the control of sucking pest in bengal gram,recommended to spray acephate15gramsliter
asked about the control of thrips in chillies,recommended to spray acephate15gramsliter
asked about the control of glh in sunflower,recommended to spray thiodicarb 15mllt
asked about control for mg deficiency,recommended to spray mgso4 2grlitre
asked about information on rabbits,esc to ah
asked about control for dieback fruitrot,recommended to spray spray mancozeb 3gmlt
asked about the control of tobacco caterpillar,recommended to spray quinolphas 2 mlltr
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked bout the control of weeds,recommended tospray benthiocarp 15ltracre
asked about control of stem borer in paddy,recommended to spray cloriphiriphos 2ml1l water
asked about control for sucking pests,recommended to spray rogor 2mllitre
asked about control of termites,recommended to spray lindane powder
asked about control of rhinocerus beetle,recommended to spray carbarilsand 25gm1hole
asked about control of rhinocerus beetle,recommended to spray carbarilsand 25gm1hole
asked about control for stem borer damage,recommended to spray chlorpyripos 25mllitre
asked about control for stem borer damage,recommended to spray chlorpyripos 25mllitre
asked about sowing of oil palm season,recommended to sow in rainy season
asked about sowing of oil palm season,recommended to sow in rainy season
asked about varieties of beera,recommanded varity surekass401
leaf spots in ridge gourd,mancozeb 2gmlt of water
asked about control for bph,recommended to spray acephate 15grlitre
asked about seed treatment in rice,recommnded to treat the seeds with mancozeb 4gmkg seed
asked about the process of raising dairyfarm,esc to ah
asked about control of weeds in paddy,recommended to spray benthiocarb 125lt acre
asked about weed control in paddy,recommended to spray benthiocarb 15ml
asked about fertilizer application,recommended to apply 200kgs n 200kgs p 400kgs k per acre plants
asked about control for weeds,recommended to spray butaclore 152 litacre
asked about control for weeds,recommended to spray butachlore 15lit 200lit wateracre
asked about the weedicide after 25 days of crop stand,esc to atic
asked about control for gallmidge damage,recommended to spray carbofuron granules 10kgs per acre
asked about the control of weeds,recommended to spray alachlor 15 litacre
control for zinc defficie,recommended to spray zincsulphate 2gmlit
asked about fertilizer application,recommended to spray 32kgs n 24kgs p 16kgs k
asked about control for weeds,recommended to spray bentiocorp 15litacre
asked about the control of blast,recommended to spray tricyclozole 06glit of water
asked about the control of hispa,recomended for the application of monocrotophos16mllit
asked about the control of sowing season,suggested to sow in october
aske about fertliser dosage,informed to that dosage is 32kg n24kg p1620kg k
asked about the control of blast,recommended to spray tricyclozole 05glit of water
asked about the information on biofertilisers,given the required information to the farmer on biofertilisers
asked about the control of leafblotch,recomended for the application of carbandezim 1glit
